2023-11-30 09:53:13 upgrade dpkg:loong64 1.22.1 1.22.1
2023-11-30 09:53:13 status half-installed dpkg:loong64 1.22.1
2023-11-30 09:53:14 status unpacked dpkg:loong64 1.22.1
2023-11-30 09:53:14 upgrade e2fsprogs:loong64 1.47.0-2+b1 1.47.0-2+b1
2023-11-30 09:53:14 status half-installed e2fsprogs:loong64 1.47.0-2+b1
2023-11-30 09:53:15 status unpacked e2fsprogs:loong64 1.47.0-2+b1
2023-11-30 09:53:15 upgrade findutils:loong64 4.9.0-5 4.9.0-5
2023-11-30 09:53:15 status half-installed findutils:loong64 4.9.0-5
2023-11-30 09:53:16 status unpacked findutils:loong64 4.9.0-5
2023-11-30 09:53:16 upgrade gcc-13-base:loong64 13.2.0-7 13.2.0-7
2023-11-30 09:53:16 status half-installed gcc-13-base:loong64 13.2.0-7
2023-11-30 09:53:16 status unpacked gcc-13-base:loong64 13.2.0-7
2023-11-30 09:53:16 upgrade grep:loong64 3.11-3 3.11-3
2023-11-30 09:53:16 status half-installed grep:loong64 3.11-3
2023-11-30 09:53:17 status unpacked grep:loong64 3.11-3
2023-11-30 09:53:17 upgrade gzip:loong64 1.12-1+b1 1.12-1+b1
2023-11-30 09:53:17 status half-installed gzip:loong64 1.12-1+b1
2023-11-30 09:53:17 status unpacked gzip:loong64 1.12-1+b1
2023-11-30 09:53:17 upgrade hostname:loong64 3.23+nmu1+b1 3.23+nmu1+b1
2023-11-30 09:53:17 status half-installed hostname:loong64 3.23+nmu1+b1
2023-11-30 09:53:17 status unpacked hostname:loong64 3.23+nmu1+b1
2023-11-30 09:53:18 upgrade init-system-helpers:all 1.66 1.66
2023-11-30 09:53:18 status half-installed init-system-helpers:all 1.66
2023-11-30 09:53:18 status unpacked init-system-helpers:all 1.66
2023-11-30 09:53:18 upgrade libacl1:loong64 2.3.1-3+b1 2.3.1-3+b1
2023-11-30 09:53:18 status half-installed libacl1:loong64 2.3.1-3+b1
2023-11-30 09:53:18 status unpacked libacl1:loong64 2.3.1-3+b1
2023-11-30 09:53:19 upgrade libapt-pkg6.0:loong64 2.7.7 2.7.7
2023-11-30 09:53:19 status half-installed libapt-pkg6.0:loong64 2.7.7
2023-11-30 09:53:19 status unpacked libapt-pkg6.0:loong64 2.7.7
2023-11-30 09:53:19 upgrade libattr1:loong64 1:2.5.1-4+b1 1:2.5.1-4+b1
2023-11-30 09:53:19 status half-installed libattr1:loong64 1:2.5.1-4+b1
2023-11-30 09:53:20 status unpacked libattr1:loong64 1:2.5.1-4+b1
2023-11-30 09:53:20 upgrade libaudit-common:all 1:3.1.1-1 1:3.1.1-1
